好	a
啦	kd
喝	kn
單	io
喲	ku
嘛	kt
嚇	kv
嚮	mu
嚴	rm
四	rs
回	kh
因	ke
园	kq
国	kf
國	kf
園	kq
土	bt
场	bd
坎	ba
坏	bi
坚	if
坦	bn
城	bz
基	ob
堅	if
堆	be
堯	zh
場	bd
塔	br
填	bp
壞	bi
士	bs
声	bh
处	fv
备	fb
复	tn
多	mm
夜	ys
大	ed
天	et
太	ev
央	ue
失	me
头	jt
夸	eq
奋	eb
奏	ee
奮	eb
女	an
她	al
如	ak
妆	xa
妙	ai
妝	xa
妞	ad
妥	ea
妹	ax
妻	pl
姐	at
姓	ah
委	oa
姨	ae
威	za
娃	ab
媒	ar
嫁	ap
嫌	ag
子	hz
孕	lh
字	ph
存	fl
孝	hh
学	iu
學	iu
它	pd
安	pa
宗	pv
定	pq
实	pj
害	pe
家	pw
實	pj
寫	uw
对	ff
寺	bf
封	bb
對	ff
小	ix
少	is
尖	ie
尧	zh
尽	hv
尾	hu
尿	hc
居	hm
屆	hb
届	hb
岛	ei
島	ei
州	ic
左	fd
巧	dl
已	jy
帅	iy
帆	yo
师	iq
帐	ym
帥	iy
带	rl
師	iq
帮	em
帳	ym
帶	rl
幫	em
干	xg
平	xi
年	ti
并	gr
幹	xg
广	hg
床	hx
应	hi
底	hy
度	hr
廣	hg
开	qr
异	jr
弄	fr
弓	zg
引	zl
张	zm
弱	zn
張	zm
当	il
录	lc
彭	ou
往	gv
征	gq
待	gb
後	hq
得	gn
從	ss
復	tn
徵	gq
德	gp
心	jx
忄	jx
必	jb
怀	ji
怎	tl
怕	jk
性	jh
情	ja
意	yj
愛	eu
愿	hk
慢	jn
應	hi
懷	ji
戏	fz
或	zk
戲	fz
戴	pz
房	py
手	ds
扌	ds
才	xc
打	dg
托	dm
找	dz
把	dw
折	dx
护	dp
抽	db
拉	dy
拍	dk
拔	du
换	da
排	de
換	da
摩	td
摸	dr
支	pf
改	jf
攻	df
故	mf
敗	cf
敢	dj
整	xk
文	yw
新	yx
方	yf
於	wl
旅	yt
无	iw
日	nr
旧	ln
早	nz
时	nf
明	nm
星	nh
昨	nt
時	nf
晚	nw
晨	nn
景	np
更	qn
書	ts
最	nj
會	sn
月	my
有	fm
木	xm
本	xb
朱	mx
朵	ox
机	xo
杀	rx
村	xf
条	fx
杰	xv
東	ui
林	xx
果	nx
枪	xs
某	rq
柔	zx
查	xn
校	xy
根	xl
梅	xt
梗	xq
條	fx
棒	xe
業	ry
槍	xs
樂	di
横	xr
機	xo
橫	xr
欠	aq
次	na
欢	fa
款	bv
歡	fa
正	qg
此	gd
步	gi
歷	ho
死	jd
段	ro
殺	rx
母	am
每	ta
毒	aa
比	dd
毛	um
民	sm
水	cs
氵	cs
求	cq
江	cd
決	ni
沙	ci
沟	ca
油	cb
波	cu
注	cv
泪	cj
洋	cw
活	cl
流	cg
浓	co
海	ct
淚	cj
湖	cm
源	ch
準	ne
溝	ca
滅	qv
滚	cy
满	cr
滾	cy
滿	cr
演	cp
漫	cn
激	ck
濃	co
火	vh
灬	vh
灭	qv
灯	vg
炉	vp
炒	vi
炮	va
炼	vu
烛	ve
烦	vc
無	iw
然	mw
煉	vu
煩	vc
燈	vg
燭	ve
爐	vp
爪	ez
爬	ew
爱	eu
爲	vo
爽	er
牀	hx
片	xp
版	xh
牛	wn
牠	pd
物	wy
特	wb
犬	wq
犭	wq
犯	wj
状	xw
犹	ww
狀	xw
狂	wf
猜	wa
猴	ws
猶	ww
王	fw
现	fj
班	fi
現	fj
球	fc
生	hs
產	yc
用	oy
甩	md
由	by
电	nd
男	bo
画	qb
留	pb
畫	qb
異	jr
當	il
疑	dt
疾	ht
痛	hj
百	fn
皮	up
盘	go
盛	zo
盤	go
目	jm
直	pt
相	xj
眼	jl
知	tk
短	to
矿	fh
硬	fq
碗	fp
磨	tf
礦	fh
示	vs
礻	vs
礼	vd
社	vb
祖	vt
神	vn
祥	vw
福	vq
禮	vd
离	jw
种	ov
科	oo
租	ot
種	ov
究	po
站	yv
竟	yh
章	yn
童	yb
笑	tm
笔	tu
笨	tx
第	tz
筆	tu
等	tb
答	te
箭	tg
節	rj
米	om
糕	ow
系	ux
紀	uj
紅	ud
純	ur
紙	uy
級	ul
素	au
累	bu
組	ut
結	ub
絕	ua
經	uc
縣	tj
織	uk
纍	bu
纏	uh
纔	xc
红	ud
级	ul
纪	uj
纯	ur
纸	uy
组	ut
织	uk
经	uc
结	ub
绝	ua
缠	uh
罪	oe
羣	lm
群	lm
義	vr
習	dn
老	hd
考	hl
聊	jp
聲	bh
聽	kx
肉	mr
胃	bm
胆	mn
胸	ma
脈	mc
脉	mc
脖	mp
脚	mb
腳	mb
腹	mt
腿	ml
膽	mn
臣	jc
臥	jv
自	jz
與	wd
興	ii
舊	ln
舞	tr
良	vl
色	aw
艾	rr
节	rj
苗	rb
若	rf
英	ru
草	rn
莲	rg
菜	re
萬	lw
落	rc
著	rh
蓮	rg
藏	rz
虎	wo
處	fv
虚	wr
虛	wr
號	kl
虧	ql
蛇	ep
血	mo
行	gg
衛	jq
衝	nv
表	ay
被	yu
裏	nb
製	wu
西	ex
見	jj
視	vj
親	yq
见	jj
视	vj
角	ao
計	lp
託	dm
記	lj
設	lo
許	lt
註	cv
詞	ld
試	lu
詩	lb
話	ll
該	lg
誇	eq
認	ls
說	li
誰	le
請	la
諾	lr
識	lk
警	rk
護	dp
變	lf
讓	lv
计	lp
认	ls
让	lv
记	lj
许	lt
设	lo
识	lk
词	ld
试	lu
诗	lb
话	ll
该	lg
说	li
请	la
诺	lr
谁	le
豆	od
豐	el
負	ac
財	cx
貨	dc
貪	sc
貴	ec
貿	pc
質	hp
賽	pr
负	ac
财	cx
败	cf
货	dc
质	hp
贪	sc
贵	ec
贸	pc
赛	pr
赤	bl
赶	gx
起	gj
越	gz
趕	gx
跟	gl
路	gf
身	js
軍	ug
軟	ga
較	gy
輛	gw
輪	gs
轉	gu
转	gu
轮	gs
软	ga
较	gy
辆	gw
辛	yp
辦	oi
边	og
达	eg
过	fg
运	ng
还	ig
迪	bg
迫	kg
迴	kh
追	mi
逆	sg
逐	wg
通	jo
逼	qk
運	ng
過	fg
道	jg
達	eg
還	ig
邊	og
那	zi
部	yk
都	hn
配	ej
酒	ce
醉	ey
里	nb
金	zj
針	zp
鈴	zs
鋒	zf
鋪	zb
鋼	zu
錄	lc
錢	zz
錯	zr
錶	ay
鍾	zv
鏡	zy
钅	zj
针	zp
钟	zv
钢	zu
钱	zz
铃	zs
铺	zb
锋	zf
错	zr
镜	zy
長	mq
长	mq
門	pm
開	qr
閒	px
間	pn
關	ge
门	pm
问	pk
闲	px
间	pn
阳	in
阴	im
阻	it
际	iv
院	ip
陰	im
陽	in
隐	ia
際	iv
隱	ia
隻	ki
难	fe
雅	je
雙	fs
離	jw
難	fe
雲	ny
電	nd
需	nl
霸	nu
音	yy
響	km
頂	gc
順	cc
預	zc
頭	jt
願	hk
顶	gc
顺	cc
预	zc
風	or
风	or
飛	ef
飞	ef
食	os
飯	oh
養	wv
餐	vm
館	op
饣	os
饭	oh
馆	op
香	on
馬	wm
驢	wp
马	wm
驴	wp
體	sx
高	pg
髮	uf
魂	nk
魚	qy
鮮	qw
鱼	qy
鲜	qw
鳥	en
鴨	ye
鸟	en
鸭	ye
麗	qu
麥	af
麦	af
麼	mj
