$	钱
⬜	白 白色
⬜️	叉 错 打叉 叉号 拒绝 取消 放弃 丢弃 复选 多选 框 方框 选项
⭐	重要 星星 星号
⭕️	圆 圈 圆圈
〽️	曲线
・	点
㊗️	祝
㊙️	秘
㏑	对数
㏒	对数
ꇊ	肺
𝄞	谱号 音乐
𝄡	谱号
𝄢	谱号
🃏	扑克 大王 小王
🅰	a 血型
🅱	b 血型
🅾	o 血型
🆎	ab 血型
🆔	id 身份
🆙	up
🆚	对战
🈚️	无
🈯️	指
🈲	禁
🈴	合
🈵	满
🈶	有
🈷	月
🈸	申
🈹	割
🈺	当
🉐	得
🉑	可
🌀	暴风 风暴 台风
🌂	伞 雨伞
🌄	日出
🌅	日出
🌈	彩虹
🌈🥚	彩蛋
🌋	火山
🌌	黑洞 银河
🌍	非洲
🌎	美洲
🌏	亚洲 澳洲
🌐	本地 地球
🌑	朔月 新月
🌒	上弦月
🌓	上弦月
🌔	上弦月
🌕	望月 满月
🌖	下弦月
🌗	下弦月
🌘	下弦月
🌙	月亮 月牙
🌛	月亮 月牙
🌜	月亮 月牙
🌝	月亮
🌡	温度计
🌧	天气 雨 下雨 雨天 阵雨
🌩	雷 打雷 雷电
🌪	龙卷风
🌫	天气 雾 大雾 雾气
🌰	例子 板栗 栗子
🌱	发芽 幼苗
🌲	树 杉 水杉 红杉 圣诞
🌳	树 杨树 桦树
🌴	树 椰树 棕榈
🌵	仙人掌
🌶	辣椒
🌷	花 郁金香
🌸	樱花
🌹	玫瑰 花
🌺	花 花朵 芙蓉
🌻	向日葵 花
🌼	开花 花
🌽	玉米
🌾	稻 𥝌 稻子 水稻
🌿	树叶 药草
🍀	树叶
🍁	枫叶 树叶
🍂	树叶 落叶
🍃	树叶 落叶
🍄	蘑菇
🍅	柿子 西红柿
🍆	茄子
🍇	葡萄
🍈	哈密瓜 甜瓜
🍉	西瓜
🍊	橘子 桔子
🍋	柠檬
🍌	香蕉
🍍	凤梨 菠萝
🍎	苹果 蛇果
🍏	苹果 蛇果
🍐	梨 鸭梨
🍑	桃 桃子 寿桃 仙桃
🍒	樱桃
🍓	草莓
🍔	汉堡
🍕	披萨
🍖	排骨
🍗	鸡腿
🍘	米饼
🍙	饭团
🍚	米饭
🍜	面条
🍞	面包
🍟	薯条
🍣	寿司
🍤	虾 虾仁 天妇罗
🍧	刨冰
🍩	甜甜圈
🍪	饼干
🍬	糖 糖果
🍭	棒棒糖 糖
🍰	蛋糕
🍱	盒饭
🍳	煎蛋
🍴	刀叉
🍵	茶
🍷	红酒
🍸	鸡尾酒
🍺	啤酒 祝贺
🍻	啤酒
🍼	奶 奶瓶
🍽️	餐具
🍾	香槟
🎀	礼物 礼品 送礼
🎁	收益 收获 礼物 礼品
🎂	蛋糕
🎆	焰火
🎇	奖牌 奖章 烟花
🎈	气球
🎑	丰收 中秋 赏月
🎓	博士 学士 博士帽 帽子
🎞	影片
🎟	券
🎠	木马
🎡	摩天轮
🎢	过山车
🎤	麦 话筒 麦克风
🎥	摄影 摄影机
🎧	耳机
🎨	画画 色盘 画板 调色
🎩	帽子 礼帽
🎪	帐篷
🎫	券 票 门票 火车票
🎬	电影
🎭	角色 面具
🎮	手柄 游戏
🎯	勾选 确认 完成 单选 命中 飞镖 箭 目标 中标 标的
🎰	老虎机
🎱	台球
🎲	骰子
🎳	保龄球 球
🎶	音符
🎷	萨克斯
🎸	吉它 小提琴
🎹	按键 琴键
🎺	小号
🎻	大提琴
🎼	乐谱
🎾	网球
🎿	滑冰 滑雪
🏀	球 篮球
🏁	旗
🏂	滑雪
🏃	跑步
🏄	冲浪
🏅	奖牌 奖章
🏆	奖 奖杯 获奖 奖章
🏇	赛马
🏈	橄榄球
🏉	橄榄球
🏊	游泳
🏋️	举重
🏍	摩托 摩托车
🏎	赛车
🏏	板球
🏐	排球 球
🏑	曲棍球
🏒	冰球
🏓	乒乓球
🏔	山 雪山
🏕	露营
🏗	施工 工地
🏚	废墟
🏛	古典 神庙
🏜	沙漠
🏝	荒岛
🏞	公园
🏟	体育馆
🏠	房子
🏡	住宅 别墅
🏢	办公 办公楼 办公室
🏤	邮局
🏥	医院
🏦	银行
🏨	酒店
🏪	便利店
🏫	学校
🏬	商场
🏭	工厂
🏮	灯笼
🏰	城堡
🏳️	投降 白旗
🏴‍☠️	海盗
🏷	标签 标记
🏸	羽毛球
🏹	弓箭
🐀	老鼠 鼠
🐁	老鼠 鼠
🐂	公牛 黄牛 牛
🐃	水牛 牛
🐄	奶牛
🐆	豹 豹子 猎豹
🐇	兔 兔子 白兔
🐉	龙
🐊	鳄鱼
🐋	鲸 鲸鱼
🐌	蜗牛
🐍	蛇 长虫
🐎	马
🐏	绵羊 公羊 羊
🐐	山羊 羊
🐑	母羊 羊
🐒	猴 猴子
🐓	鸡 公鸡 雄鸡
🐔	鸡头
🐕	狗 黄狗 小狗 柴犬
🐖	佩奇 猪
🐗	猪 野猪
🐘	象 大象
🐙	章鱼
🐛	虫 蚕 蚕蛹 虫子
🐜	蚂蚁
🐝	蜜蜂
🐞	瓢虫
🐠	金鱼
🐡	河豚
🐢	乌龟 兲 王八
🐣	小鸟
🐤	小鸟
🐥	小鸟
🐧	企鹅
🐨	考拉
🐩	狗 贵宾 贵宾狗 贵宾犬
🐪	骆驼
🐫	骆驼
🐬	海豚
🐭	老鼠 鼠
🐲	龙 龙头
🐳	鲸 鲸鱼
🐴	马
🐵	猴头
🐷	猪 猪头
🐸	蛙 青蛙
🐺	狼 狼头
🐼	熊猫
🐾	脚印
🐿	松鼠
👀	看 期待
👁	眼睛 红眼 眼红
👁️‍🗨️	眼睛
👄	嘴
👅	舌头
👆	上 上图 上边 上面 向上 如上
👇	下 下图 下边 下面 向下 如下
👈	左 左侧 左图 左边 左面
👉	右 右侧 右图 右边 右面
👊	出拳
👋	挥手
👌	ok 可以 好的
👍	拇指 棒
👑	王冠 皇冠
👓	眼镜
👙	比基尼 内衣 内裤
👣	脚印
👨‍🎓	专家 主持
👨‍👦	单亲
👨‍👧	单亲
👨‍👩‍👧‍👦	人群 团队 组织 家庭
👩‍👦	单亲
👩‍👧	单亲
👪	家庭
👮	警察
👷	工人
👸	公主
👻	鬼 魂 鬼魂
👽	外星 外星人
👿	恶魔 魔鬼
💀	骷髅
💁	前台 客服 导游
💂	卫兵 大兵
💄	口红 唇膏
💇	理发
💈	理发 发廊
💉	注射 打针
💊	吃药 药 药丸 胶囊
💌	情书
💍	钻戒 戒指
💎	钻石
💐	花 花束
💑	情侣 相亲
💓	心跳 心颤 心动
💔	心碎
💗	红 红色 红心 爱心
💘	心
💙	心 蓝 蓝色
💚	心 绿 绿色
💛	心 黄 黄色
💜	心 紫 紫色
💡	灯 电灯 灯泡
💣	雷 地雷 炸弹 爆炸 炮弹
💤	睡觉 梦乡
💦	水滴
💧	水滴
💨	气 屁 放屁
💩	屎
💪	力量 肌肉 加油 打气
💫	晕 循环
💬	消息 聊天 气泡 泡泡
💰	钱 钱包 工资
💱	兑换 转换 汇率
💲	美元 美刀
💳	信用卡 卡片 刷卡 磁卡 银行卡
💴	日元
💵	美元 美刀
💶	欧元
💷	英镑
💸	钱
💹	上升 上行 向好 改善 赚钱 收益 收入
💻	电脑
💽	光驱
💿	光盘
📁	文件夹
📂	文件夹
📄	文件
📅	日历
📆	日历
📈	上升 上行 向好 改善 图表 统计 曲线
📉	下降 下行 恶化 图表 统计 曲线
📊	图表 统计 曲线 柱图 柱状图
📋	tip tips 知识点 提示 要点
📌	钉 图钉
📎	别针
📏	直尺 格尺 尺子
📐	角尺
📑	标签 标记 笔记
📒	账本
📓	书 字典 典籍
📔	笔记本
📕	书 红书
📖	看书 阅读 书本 学习 培训
📗	绿书
📘	蓝书
📙	橙书
📚	书 书籍 课程
📜	卷轴 收据 记录 账单 表单 列表
📝	记录 备忘录 填表 表单 登记
📞	电话
📠	电话
📡	雷达 天线
📣	喇叭
📤	信封
📥	信封
📦	包裹
📧	信件 邮件
📨	信封
📩	信封
📪	邮箱
📫	邮箱
📬	邮箱
📭	邮箱
📰	报纸
📱	手机
📲	手机 来电
📵	手机 禁用
📶	信号
📷	照像 像机 照像机
📹	录像 摄像 录像机 摄像机
📺	电视
📻	收音机
📼	磁带
📽	放映 放映机
🔀	随机 乱序
🔁	循环 重复 回收 顺序
🔂	单曲 循环 重复 回收
🔇	声音 音量
🔈	喇叭 声音 音量
🔉	声音 音量
🔊	声音 音量
🔋	电池
🔌	插头 电源
🔍	找 查找 寻找
🔏	加密
🔐	锁
🔑	钥匙
🔒	锁 上锁 加锁
🔓	锁 开锁
🔔	铃 铃铛 钟
🔕	静音 安静
🔖	书签
🔗	链子 链条
🔘	单选 选项
🔝	顶 顶部 top
🔞	不宜 禁
🔢	数字
🔥	火 火苗 大火 火焰 火爆
🔦	手电
🔧	扳手
🔨	锤 铁锤 锤子
🔩	螺丝 螺栓 螺母
🔪	刀 菜刀
🔬	显微镜
🔭	望远镜
🔰	盾 盾牌
🔲	框 方框
🔳	框 方框
🔴	红 红色
🔵	蓝 蓝色
🔶	菱形
🔺	三角
🔻	三角
🕊	鸽 鸽子
🕌	清真 清真寺
🕑	丑时 荒鸡 鸡鸣 未时 日眣 日央 日跌
🕓	寅时 平旦 黎明 早晨 日旦 申时 晡时 日晡 夕食
🕕	下班 卯时 日出 日始 破晓 旭日 酉时 日落 日沉 傍晚
🕗	戌时 黄昏 日夕 日暮 日晚 辰时 食时 早食 朝食
🕘	上班 开工
🕙	亥时 人定 定昏 巳时 隅中 日禺
🕛	午时 日中 日正 中午 正午 子时 三更 子夜 半夜 午夜
🕯️	蜡烛
🕳	洞 陷阱
🕵	侦探
🕶️	墨镜 眼镜
🕷	蜘蛛
🕸	蛛网 网 蜘蛛
🕹	摇杆 操控杆
🖊	笔
🖋	钢笔
🖌	画笔 毛笔
🖍	蜡笔
🖐️	手掌
🖕	中指
🖤	黑 黑色 黑心
🖨️	打印 打印机
🖮	键盘
🖯	鼠标
🖲️	鼠标
🗑	垃圾桶
🗝	钥匙
🗡	匕首
🗩	聊天 气泡 泡泡
🗪	聊天 气泡 泡泡
🗫	聊天 气泡 泡泡
🗳	抽纸
🗳️	选举 投票 投票箱
🗺	地图
🗾	日本
🗿	石像
😁	嘻嘻
😂	笑哭 笑死 笑屎
😃	哈哈 开心
😄	大笑 开心
😅	汗 苦笑 无奈 尴尬
😉	眨眼 媚眼
😊	害羞 腼腆
😍	花痴
😝	辣
😞	沮丧 悲伤
😶	沉默 无语
😷	医生 口罩
🙂	微笑
🙄	白眼
🙏	谢谢 辛苦 感谢
🚀	火箭
🚁	直升机
🚄	高铁
🚈	火车
🚋	电车
🚌	大巴 巴士
🚑	救护 救护车
🚒	消防 消防车
🚓	警车
🚔	警车
🚕	出租 出租车
🚖	出租 出租车
🚚	货车 卡车
🚠	缆车 索道
🚡	缆车 索道
🚢	船 轮船
🚣	小船
🚤	快艇
🚥	红灯 绿灯 黄灯
🚦	红灯 绿灯 黄灯
🚧	施工 路障
🚨	警灯 警车灯
🚩	旗 红旗 目标 标志 标记
🚪	门 入口
🚫	禁停 禁止
🚬	烟 香烟 抽烟
🚭	禁止
🚮	垃圾 垃圾桶
🚯	禁止
🚰	开水
🚱	禁用
🚲	自行车
🚳	禁止
🚴	骑车
🚵	山地车
🚶	行人 行走 离开 走开
🚷	禁止
🚸	儿童
🚹	厕所 男人 男厕
🚺	厕所 女人 女厕
🚻	厕所
🚼	婴儿
🚽	马桶
🚾	厕所
🚿	淋浴 花撒
🛆	三角
🛌	床
🛏	床
🛑	停 停止 让行
🛠	维修 工具
🛡	盾 盾牌
🛥	摩托艇
🛫	起飞 出发
🛬	降落 到达
🛰	卫星
🛳	客轮
🛴	滑板车
🛶	独木舟
🛸	飞碟
🛹	滑板
🟠	橙 橙色
🟡	黄 黄色
🟢	绿 绿色
🟤	棕 棕色
🟥	方块 红 红色 颜色
🟦	蓝 蓝色 颜色
🟧	橙 橙色 颜色
🟨	颜色 黄 黄色
🟩	绿 绿色 颜色
🟫	棕 棕色 颜色
🤖	机器
🤙	溜
🤡	小丑
🤣	笑哭 笑死 笑屎
🤩	崇拜 羡慕
🤭	不说 捂嘴 偷笑
🤰	孕妇
🤴	王子
🤸	筋斗
🤼	摔跤
🤾	扣篮
🥀	伤心
🥄	勺 勺子 匙
🥅	球门
🥇	冠军 金牌
🥈	亚军 银牌
🥉	季军 铜牌
🥌	冰壶
🥍	袋棍球
🥎	垒球
🥏	飞盘
🥑	鳄梨 牛油果
🥒	黄瓜 胡瓜
🥓	培根
🥔	土豆
🥕	胡萝卜 萝卜
🥖	法棍
🥚	蛋 鸡蛋 鸭蛋
🥜	花生
🥝	猕猴桃
🥟	饺子
🥡	外卖 盒饭
🥢	筷 筷子
🥣	汤碗 喝汤 碗
🥤	果汁 饮料
🥥	椰子
🥦	西兰花
🥬	青菜 白菜 蔬菜
🥭	芒果
🥮	中秋 月饼
🥽	眼镜
🦀	蟹 螃蟹
🦁	狮子 狮头
🦂	蝎子
🦅	鹰 老鹰
🦆	鸭子
🦇	蝙蝠
🦈	鲨鱼
🦊	狐狸
🦋	蝴蝶 美丽 蜕变
🦌	鹿
🦍	猩猩
🦎	蜥蜴
🦏	犀牛
🦔	刺猬
🦕	恐龙
🦖	恐龙
🦘	袋鼠
🦚	孔雀
🦛	河马
🦜	鹦鹉
🦝	浣熊
🦞	虾 龙虾
🦟	蚊子
🦠	病毒 细菌 卫生
🦡	平头 蜜獾
🦢	鹅 大鹅 白鹅 天鹅
🦥	树懒
🦦	水獺 水獭
🦨	臭鼬
🦩	火烈 火烈鸟
🦴	骨头
🦵	腿
🦶	脚
🦷	牙 牙齿
🧀	芝士
🧂	盐
🧃	果汁 饮料
🧄	蒜 大蒜
🧅	洋葱
🧈	黄油
🧍	站立 等待
🧑‍⚖️	法官 律师
🧑‍✈️	飞行员 机长
🧑‍🌾	农民
🧑‍🍳	厨师
🧑‍🎓	学生
🧑‍🎤	歌手 艺人
🧑‍🎨	艺术家 艺人
🧑‍🏫	老师 教师 教授
🧑‍🏭	工人
🧑‍💻	程序 程序员
🧑‍💼	白领
🧑‍🔧	技工 技师
🧑‍🔬	科学家
🧑‍🚀	宇航员
🧑‍🚒	消防员
🧑‍🤝‍🧑	恋爱 拉手
🧑‍🦯	盲人
🧠	大脑 脑仁
🧦	袜子
🧧	红包
🧨	炮 爆竹
🧩	拼图
🧪	试管
🧬	dna 基因 遗传
🧭	罗盘 指南 司南 指南针
🧮	算盘
🧯	灭火 灭火器
🧰	工具箱 箱子
🧱	砖 搬砖 砖家
🧲	磁铁
🧶	毛线 线团
🧷	别针
🧹	打扫 扫帚
🧻	手纸 卷纸 纸 厕纸
🧼	卫生 肥皂 洗手
🧽	海绵
🧾	卷轴 收据 记录 账单 表单 列表
🩸	血 滴血
🩹	创可贴
🪀	悠悠球
🪁	风筝
🪂	跳伞
🪐	土星
🪑	凳子 板凳 椅子 座椅
🪓	斧头
🪔	油灯
🫐	蓝莓
｡◕‿◕｡	可爱
￥	钱
