⺀	uyy
⿑	yuhj
⿒	hbj
⿓	uegd
⿔	qxf
⿕	wgka
〇	llll
㇀	ggll
㇁	nnll
㇂	nnll
㇃	nnll
㇄	nnll
㇅	nnll
㇆	nnll
㇇	nnll
㇈	nnll
㇉	nnll
㇊	nnll
㇋	nnll
㇌	nnll
㇍	nnll
㇎	nnll
㇏	yyll
㇐	ggll
㇑	hhll
㇒	ttll
㇓	ttll
㇔	yyll
㇕	nnll
㇖	nnll
㇗	nnll
㇘	nnll
㇙	nnll
㇚	hhll
㇛	nnll
㇜	nnll
㇝	yyll
㇞	nnll
㇟	nnll
㇠	nnll
㇡	nnll
㇢	nnll
㇣	knll
㐀	hghg
㐁	gmwg
㐂	aaab
㐃	lhk
㐄	ahk
㐅	rty
㐆	rvnv
㐇	vnb
㐈	tynb
㐉	snb
㐊	fnb
㐋	fnb
㐌	tbb
㐍	enb
㐎	ynb
㐏	gnb
㐐	vcnb
㐑	tunb
㐒	vknb
㐓	sknb
㐔	yknb
㐕	mnb
㐖	fknn
㐗	ftxn
㐘	onb
㐙	gkun
㐚	gknb
㐛	wdkn
㐜	giyv
㐝	rqkn
㐞	adwn
㐟	hdhn
㐠	ebnn
㐡	vdmd
㐢	iebn
㐣	olnv
㐤	vfhw
㐥	qegn
㐦	egnn
㐧	ynht
㐨	cnhh
㐩	fjfj
㐪	ybwu
㐫	yrbj
㐬	yckb
㐭	ylkf
㐮	ywae
㐯	ykkj
㐰	wkg
㐱	wer
㐲	wdy
㐳	wgqn
㐴	wqy
㐵	wgfh
㐶	wnn
㐷	wcgg
㐸	wqwy
㐹	wrnn
㐺	wwwy
㐻	wmwy
㐼	wtah
㐽	wwry
㐾	wfqn
㐿	wrh
㑀	wdyy
㑁	wbmh
㑂	wgmw
㑃	wxet
㑄	wxy
㑅	wthg
㑆	wkqn
㑇	wqvg
㑈	waiy
㑉	wwgq
㑊	wyoy
㑋	wmag
㑌	wagg
㑍	wdiy
㑎	wvmh
㑏	wpfy
㑐	whgi
㑑	wthg
㑒	wgkw
㑓	wcdc
㑔	wdmy
㑕	wmqy
㑖	wwkh
㑗	wtmt
㑘	waah
㑙	wbnn
㑚	wngb
㑛	wgki
㑜	wrrh
㑝	wgah
㑞	woah
㑟	wrgw
㑠	wjcf
㑡	wvcb
㑢	wfcb
㑣	wssy
㑤	walg
㑥	wjqr
㑦	wyny
㑧	wtbg
㑨	wktd
㑩	wlqy
㑪	wyjg
㑫	wwyn
㑬	wvdg
㑭	wlgj
㑮	wplh
㑯	wdmy
㑰	wxge
㑱	wcns
㑲	wfmf
㑳	wqbt
㑴	wvpc
㑵	wutd
㑶	wrno
㑷	wcex
㑸	wdsk
㑹	wgmj
㑺	wwyb
㑻	wpnm
㑼	wltk
㑽	wipf
㑾	wqyg
㑿	wvjs
㒀	wyud
㒁	wlff
㒂	wafj
㒃	wafy
㒄	wqdo
㒅	wyqe
㒆	wwgn
㒇	wrlo
㒈	wnbt
㒉	wips
㒊	wvyh
㒋	wadr
㒌	woow
㒍	wcci
㒎	wgdd
㒏	wpau
㒐	wtqj
㒑	waiy
㒒	wogi
㒓	wfup
㒔	wlqj
㒕	wyxy
㒖	wajy
㒗	waff
㒘	wahu
㒙	wxrh
㒚	wean
㒛	wnwy
㒜	wegw
㒝	waly
㒞	wmwm
㒟	wyce
㒠	whqg
㒡	weri
㒢	wwga
㒣	wown
㒤	wbbb
㒥	wmdu
㒦	wllf
㒧	wyry
㒨	wetn
㒩	wxgj
㒪	wahe
㒫	ghfq
㒬	fqgd
㒭	kqkq
㒮	fqge
㒯	igqf
㒰	tyaf
㒱	tyqu
㒲	tyjf
㒳	mhty
㒴	tybm
㒵	rwu
㒶	wrf
㒷	mwgw
㒸	ueu
㒹	fhww
㒺	muwn
㒻	jhqb
㒼	amhy
㒽	judb
㒾	jytb
㒿	jyry
㓀	phu
㓁	pwu
㓂	pfqv
㓃	pyta
㓄	cccq
㓅	ush
㓆	uwxn
㓇	utdy
㓈	udg
㓉	utdg
㓊	umgk
㓋	uawy
㓌	uwgg
㓍	uycq
㓎	uvpc
㓏	umwk
㓐	ufwf
㓑	ufuf
㓒	uawn
㓓	ufmf
㓔	utmf
㓕	udgy
㓖	ujaf
㓗	udhi
㓘	wgqy
㓙	ybk
㓚	ajh
㓛	avt
㓜	xvt
㓝	fjjh
㓞	dhvt
㓟	hcjh
㓠	hkjh
㓡	rmjh
㓢	tkjh
㓣	wgkj
㓤	fkjh
㓥	ivjh
㓦	djjh
㓧	wynj
㓨	dwwj
㓩	qehj
㓪	yvcv
㓫	dgaj
㓬	udvj
㓭	jqwj
㓮	mfkj
㓯	vljh
㓰	gmbj
㓱	wgej
㓲	ynmj
㓳	jghj
㓴	dmjj
㓵	kkfj
㓶	dhvj
㓷	thsj
㓸	nngj
㓹	dooj
㓺	hayj
㓻	lghj
㓼	swij
㓽	mpfj
㓾	nitj
㓿	twij
㔀	jykj
㔁	wgkj
㔂	oqaj
㔃	xqcv
㔄	sojh
㔅	vfjj
㔆	aqaj
㔇	wxwj
㔈	ahdj
㔉	ntkj
㔊	ylkj
㔋	ahnj
㔌	bcij
㔍	thaj
㔎	btwv
㔏	dddj
㔐	tghj
㔑	awnv
㔒	mwyj
㔓	tfet
㔔	ekkf
㔕	rnet
㔖	eknb
㔗	xjet
㔘	bmet
㔙	uaet
㔚	tdet
㔛	fker
㔜	ebet
㔝	gmhe
㔞	tfue
㔟	tgve
㔠	jqwe
㔡	tlre
㔢	xqce
㔣	llle
㔤	ptoe
㔥	lcee
㔦	ugwe
㔧	hale
㔨	quxe
㔩	qfcl
㔪	qhlo
㔫	dxb
㔬	xjfj
㔭	xjgh
㔮	akfx
㔯	awkd
㔰	aqhi
㔱	aewi
㔲	awyv
㔳	awyw
㔴	alaw
㔵	annw
㔶	aujm
㔷	agmw
㔸	arhw
㔹	fet
㔺	fafj
㔻	dhfj
㔼	rwyf
㔽	hlkf
㔾	bnn
㔿	gnhk
㕀	mbb
㕁	rdcb
㕂	dwyn
㕃	dgak
㕄	dgxi
㕅	dlk
㕆	ddd
㕇	dud
㕈	dyei
㕉	dwgk
㕊	dgey
㕋	dqd
㕌	djgf
㕍	dwyd
㕎	dfcl
㕏	dgkf
㕐	deqo
㕑	dfkf
㕒	dugy
㕓	dlff
㕔	dbgn
㕕	ccu
㕖	cccs
㕗	ugqc
㕘	ccci
㕙	cwty
㕚	cyyi
㕛	ccu
㕜	khcu
㕝	dcu
㕞	nmhc
㕟	hmac
㕠	uwyc
㕡	hpgc
㕢	hpgc
㕣	wkf
㕤	kvn
㕥	kwy
㕦	kdu
㕧	knt
㕨	kwyy
㕩	kdhh
㕪	kpqn
㕫	kyt
㕬	kwcy
㕭	ktdy
㕮	kwry
㕯	mwkd
㕰	ktfn
㕱	kdny
㕲	ksy
㕳	krbh
㕴	kpwn
㕵	kgg
㕶	kgg
㕷	krg
㕸	kug
㕹	kdcy
㕺	kkgn
㕻	ydhk
㕼	kqrn
㕽	knyw
㕾	ikxb
㕿	tkf
㖀	kvgh
㖁	krdc
㖂	kjxt
㖃	krgk
㖄	kyth
㖅	kdgy
㖆	kmag
㖇	kdmj
㖈	ftxk
㖉	kwhg
㖊	kvfy
㖋	wjkx
㖌	wvkx
㖍	ufkx
㖎	kxwj
㖏	kjfg
㖐	kkvt
㖑	kaah
㖒	kuxt
㖓	ktdh
㖔	kgdk
㖕	kufh
㖖	ufkf
㖗	kmwn
㖘	kdfe
㖙	ekkx
㖚	wfkx
㖛	dkxb
㖜	ykkx
㖝	fikx
㖞	kkmw
㖟	kepc
㖠	kdfi
㖡	kywy
㖢	kohx
㖣	kukg
㖤	kbib
㖥	klty
㖦	kgji
㖧	kqaj
㖨	kviy
㖩	kbcy
㖪	kakg
㖫	kfwt
㖬	kecy
㖭	kgdn
㖮	kwga
㖯	mgkx
㖰	kxmk
㖱	ywtk
㖲	vkkx
㖳	ivkx
㖴	kaqr
㖵	khwy
㖶	ksfg
㖷	kjgh
㖸	khag
㖹	kwvl
㖺	kdwj
㖻	kcns
㖼	kafs
㖽	kdmy
㖾	kkut
㖿	kbbh
㗀	kmxx
㗁	kkkn
㗂	kith
㗃	knaj
㗄	klyt
㗅	kdeg
㗆	kakf
㗇	knhc
㗈	kcee
㗉	dhvk
㗊	kkkk
㗋	kqdd
㗌	kpgf
㗍	ktjg
㗎	keks
㗏	kdhh
㗐	kdyl
㗑	krdf
㗒	kyke
㗓	kwnp
㗔	khay
㗕	kamf
㗖	keeg
㗗	kerf
㗘	kgef
㗙	kqbt
㗚	kssy
㗛	kttd
㗜	kyxl
㗝	kugo
㗞	kdhc
㗟	iygx
㗠	vckx
㗡	awbx
㗢	ktge
㗣	kaqh
㗤	dhgk
㗥	kykb
㗦	kbqb
㗧	kpwf
㗨	atdk
㗩	knrg
㗪	khxi
㗫	kwfi
㗬	ipkq
㗭	kton
㗮	qkow
㗯	ftjx
㗰	ktwh
㗱	kwys
㗲	kvfg
㗳	ktwk
㗴	kueg
㗵	koow
㗶	kwxc
㗷	kpam
㗸	ktrs
㗹	kwyn
㗺	kgdd
㗻	kmnp
㗼	kogi
㗽	xtyk
㗾	kakx
㗿	kusk
㘀	keoy
㘁	klff
㘂	kuxn
㘃	kadn
㘄	ksly
㘅	ktqs
㘆	kfkf
㘇	koos
㘈	kxth
㘉	ktvb
㘊	kfyg
㘋	kahm
㘌	khaj
㘍	kiwa
㘎	kunt
㘏	uthx
㘐	kcor
㘑	kffi
㘒	ttgx
㘓	kugi
㘔	kpam
㘕	kaal
㘖	kutm
㘗	khhy
㘘	yxxk
㘙	kkkt
㘚	kunt
㘛	kwgd
㘜	ywyk
㘝	lci
㘞	lee
㘟	lak
㘠	lnte
㘡	llk
㘢	ligq
㘣	lked
㘤	lijg
㘥	leri
㘦	fet
㘧	fcnh
㘨	fmwy
㘩	fxxn
㘪	ftfn
㘫	ffjh
㘬	fqcy
㘭	fxnn
㘮	fnyy
㘯	ftet
㘰	fufh
㘱	fmfg
㘲	fnvn
㘳	uxff
㘴	kwfd
㘵	fdmh
㘶	qahf
㘷	fary
㘸	gqxf
㘹	hxff
㘺	fway
㘻	fldy
㘼	fftn
㘽	ffxy
㘾	fpgf
㘿	fjfg
㙀	fpwv
㙁	ftxy
㙂	fukq
㙃	frgw
㙄	fxxf
㙅	fksy
㙆	fpdc
㙇	fgey
㙈	fhaw
㙉	fmaw
㙊	fdey
㙋	fadw
㙌	fvij
㙍	fccc
㙎	fdgy
㙏	ftjt
㙐	fmdj
㙑	tkmf
㙒	lcnf
㙓	ffff
㙔	fnkh
㙕	fleg
㙖	ftky
㙗	flge
㙘	fsvg
㙙	idnf
㙚	fugg
㙛	fgef
㙜	ykmf
㙝	feee
㙞	fths
㙟	fyve
㙠	atdf
㙡	ftwh
㙢	famy
㙣	fxde
㙤	fhaf
㙥	fywe
㙦	wgsf
㙧	fgjl
㙨	fxxy
㙩	fdui
㙪	ffpu
㙫	fwys
㙬	swwf
㙭	fduw
㙮	ftwk
㙯	fwfc
㙰	qehf
㙱	kgnf
㙲	fyxy
㙳	fdgn
㙴	fqdy
㙵	fykf
㙶	ykif
㙷	fjxo
㙸	fwow
㙹	falq
㙺	fakm
㙻	fojf
㙼	flll
㙽	fddj
㙾	ferb
㙿	fugy
㚀	fhaa
㚁	fffq
㚂	fgke
㚃	fpru
㚄	fplh
㚅	tgtg
㚆	yjtu
㚇	rbwt
㚈	qfh
㚉	bqqu
㚊	qqyw
㚋	qqmk
㚌	qqjs
㚍	qqkm
㚎	dbj
㚏	daj
㚐	ddu
㚑	vdu
㚒	dtyy
㚓	dsu
㚔	dufj
㚕	dxjj
㚖	rdu
㚗	degf
㚘	fwfw
㚙	ekdu
㚚	dqkf
㚛	dxjf
㚜	dakg
㚝	dwff
㚞	dssu
㚟	qkxd
㚠	dugo
㚡	dskk
㚢	wvg
㚣	vvf
㚤	vayy
㚥	vgfh
㚦	vgjh
㚧	vot
㚨	vnfh
㚩	vmfg
㚪	vtfn
㚫	vbyy
㚬	vqug
㚭	vdny
㚮	vpwn
㚯	vwry
㚰	vdhg
㚱	vrgg
㚲	vhkg
㚳	vekg
㚴	vdmh
㚵	vtuy
㚶	vhnn
㚷	vwiy
㚸	vngk
㚹	vqtb
㚺	vbbg
㚻	lvf
㚼	vlg
㚽	agnv
㚾	vkqn
㚿	vqnn
㛀	vqvg
㛁	vguf
㛂	vrcn
㛃	dhvv
㛄	vyey
㛅	vbg
㛆	vbsy
㛇	vofg
㛈	vftn
㛉	vsg
㛊	vwsy
㛋	vwny
㛌	vctg
㛍	vdww
㛎	vkkg
㛏	vgiy
㛐	vgjr
㛑	hqcv
㛒	vgku
㛓	vrdh
㛔	vtdh
㛕	vkcn
㛖	vcwt
㛗	vwwf
㛘	vfpb
㛙	vufh
㛚	vceh
㛛	vtmt
㛜	whtv
㛝	vmy
㛞	vgah
㛟	vqmd
㛠	vujg
㛡	vpfq
㛢	vtbt
㛣	vkmy
㛤	vgmy
㛥	vijg
㛦	vssy
㛧	vmdg
㛨	vufq
㛩	vyce
㛪	vdjn
㛫	vjqr
㛬	vfwf
㛭	vajg
㛮	vpoc
㛯	vqke
㛰	vnaj
㛱	vlge
㛲	vdmy
㛳	yupv
㛴	vvtr
㛵	vemf
㛶	vmdo
㛷	tdnv
㛸	vfku
㛹	vwgr
㛺	vujg
㛻	vdff
㛼	vtfe
㛽	vpoy
㛾	vdgy
㛿	vgkh
㜀	vshg
㜁	vsjg
㜂	fffv
㜃	vwyg
㜄	vwtj
㜅	vyxl
㜆	vopy
㜇	vffn
㜈	cnhv
㜉	vvkc
㜊	vnae
㜋	vuwl
㜌	fpgc
㜍	vovk
㜎	vexd
㜏	vkmy
㜐	vmgu
㜑	igev
㜒	veah
㜓	vawk
㜔	vukq
㜕	vlpy
㜖	vgmj
㜗	vcce
㜘	vhag
㜙	vonx
㜚	vpwj
㜛	vlqw
㜜	vgqt
㜝	vwyg
㜞	lrvf
㜟	vnbt
㜠	vmwy
㜡	vtwh
㜢	vlvg
㜣	vqdo
㜤	vsjf
㜥	vlmy
㜦	vvaf
㜧	vduw
㜨	vnig
㜩	vtmd
㜪	usrv
㜫	vtmt
㜬	vqdy
㜭	vipl
㜮	vahl
㜯	vaho
㜰	vrxs
㜱	vrrm
㜲	vyny
㜳	vyle
㜴	valh
㜵	vyce
㜶	vqky
㜷	xgwv
㜸	awnv
㜹	vhhy
㜺	vtfm
㜻	vyxn
㜼	vccg
㜽	vbf
㜾	bwjh
㜿	bcnh
㝀	xbg
㝁	qjbf
㝂	brrh
㝃	bqkq
㝄	ykbn
㝅	fpgc
㝆	bfkk
㝇	ykbb
㝈	yxxb
㝉	pgf
㝊	pcu
㝋	pbj
㝌	pqyu
㝍	pgng
㝎	ppu
㝏	pwjj
㝐	pwcu
㝑	pyr
㝒	pdf
㝓	pwgk
㝔	pywr
㝕	pncu
㝖	pqqu
㝗	pyve
㝘	pyf
㝙	pggw
㝚	pthp
㝛	pwgw
㝜	pajf
㝝	pssu
㝞	pgfg
㝟	pghq
㝠	pjyw
㝡	pbcu
㝢	ptky
㝣	pdhd
㝤	pamf
㝥	pnho
㝦	pwyb
㝧	pvwf
㝨	pfke
㝩	povi
㝪	pfuy
㝫	pbtg
㝬	pdhw
㝭	pnjg
㝮	pbmc
㝯	ptdk
㝰	pthy
㝱	pnhq
㝲	pnhh
㝳	gni
㝴	fqfi
㝵	jgfu
㝶	lqfu
㝷	vavf
㝸	irqb
㝹	itqy
㝺	uvot
㝻	akgt
㝼	dngf
㝽	dnii
㝾	dnda
㝿	dnhc
㞀	dndo
㞁	dnjx
㞂	dnev
㞃	wwky
㞄	dndn
㞅	dnjs
㞆	dndk
㞇	dnle
㞈	dnya
㞉	dnua
㞊	bmfn
㞋	nci
㞌	nbd
㞍	nvyi
㞎	ncv
㞏	ntpi
㞐	nud
㞑	nffn
㞒	nthd
㞓	nxjd
㞔	nqqi
㞕	nwed
㞖	ngmi
㞗	ngiy
㞘	ngey
㞙	ntfi
㞚	ntfe
㞛	ntxj
㞜	nttv
㞝	dhgn
㞞	ntwh
㞟	nusd
㞠	ndui
㞡	naae
㞢	bhgd
㞣	bhwv
㞤	mwu
㞥	mtyu
㞦	mwn
㞧	mbr
㞨	mbg
㞩	mwyu
㞪	vmj
㞫	mpu
㞬	maf
㞭	dmj
㞮	mqyu
㞯	nmj
㞰	mtfh
㞱	mjf
㞲	mkhh
㞳	mufh
㞴	mqan
㞵	myu
㞶	myy
㞷	bhgf
㞸	mdhu
㞹	mskg
㞺	mtdu
㞻	mkgn
㞼	bimj
㞽	mgny
㞾	mnxn
㞿	mfru
㟀	tmj
㟁	mdfh
㟂	mxy
㟃	mngk
㟄	mugh
㟅	mrbq
㟆	mwxf
㟇	mwwf
㟈	mgiy
㟉	mptg
㟊	mebg
㟋	mukq
㟌	mdny
㟍	myve
㟎	mevg
㟏	mwyk
㟐	mayn
㟑	mfpb
㟒	mvtk
㟓	mrdh
㟔	mwyk
㟕	mkuf
㟖	mgaj
㟗	mwvv
㟘	mmfk
㟙	majg
㟚	sfcm
㟛	mraf
㟜	mxqi
㟝	mukg
㟞	maay
㟟	mawb
㟠	mmum
㟡	mudb
㟢	mdsk
㟣	mswc
㟤	mviu
㟥	mcde
㟦	mplj
㟧	mkkn
㟨	mmdj
㟩	natm
㟪	mlge
㟫	mriy
㟬	mehc
㟭	mnaj
㟮	mpwy
㟯	mptk
㟰	mpjw
㟱	mugo
㟲	mdri
㟳	mssy
㟴	mrqc
㟵	mlgh
㟶	mdri
㟷	mawk
㟸	mrdf
㟹	mbqb
㟺	mlvf
㟻	lrmj
㟼	mgqt
㟽	msfi
㟾	movh
㟿	mada
㠀	wvgm
㠁	mcce
㠂	mgqt
㠃	myud
㠄	mnrf
㠅	mttt
㠆	mkkl
㠇	myky
㠈	mugg
㠉	mujf
㠊	mhag
㠋	mkkn
㠌	madw
㠍	mwys
㠎	mwys
㠏	maaf
㠐	mtdk
㠑	mlhd
㠒	msfj
㠓	mape
㠔	mnkf
㠕	mbtc
㠖	mugy
㠗	mtmd
㠘	megw
㠙	myke
㠚	mogf
㠛	mawc
㠜	mxth
㠝	mfwm
㠞	tmgm
㠟	mtqi
㠠	mhal
㠡	myce
㠢	mrqe
㠣	mdth
㠤	myke
㠥	mllf
㠦	mmdu
㠧	mosd
㠨	msrf
㠩	wnkb
㠪	ghgd
㠫	awyw
㠬	akfw
㠭	aaaa
㠮	uoga
㠯	hnnd
㠰	eknb
㠱	nadw
㠲	mhxn
㠳	tymh
㠴	mhvy
㠵	ynmh
㠶	mhtw
㠷	mhby
㠸	mhfw
㠹	mhwj
㠺	mhit
㠻	ftmh
㠼	mhrh
㠽	mhtu
㠾	qbmh
㠿	hxmh
㡀	umii
㡁	mhdn
㡂	gqjh
㡃	mhwk
㡄	mhqj
㡅	mhqq
㡆	mhyk
㡇	mhbn
㡈	mhqq
㡉	mhxx
㡊	mhqe
㡋	mhdn
㡌	mhje
㡍	rdmh
㡎	mhce
㡏	mhwj
㡐	mhuj
㡑	tomh
㡒	mhrh
㡓	mhpl
㡔	cnhh
㡕	mhad
㡖	mhtf
㡗	mhrw
㡘	mhuo
㡙	mhtx
㡚	mhaf
㡛	mhak
㡜	mhwi
㡝	mhtp
㡞	mhlv
㡟	mhgj
㡠	mhwu
㡡	mhdf
㡢	mhjq
㡣	yupd
㡤	mhoi
㡥	mhen
㡦	mhpm
㡧	mhpu
㡨	mhwg
㡩	yxxh
㡪	mhet
㡫	xjqn
㡬	xxaq
㡭	xxgn
㡮	xxdn
㡯	otav
㡰	ogfk
㡱	oqyi
㡲	oai
㡳	oqav
㡴	oud
㡵	owyc
㡶	okwi
㡷	osgd
㡸	othf
㡹	oegd
㡺	ojgd
㡻	oqtb
㡼	ojxe
㡽	ovgk
㡾	ovei
㡿	oubt
㢀	ogmi
㢁	oqqi
㢂	ownn
㢃	oyve
㢄	ogku
㢅	ogak
㢆	ojfd
㢇	oyd
㢈	owyd
㢉	otta
㢊	odsk
㢋	owqq
㢌	obsk
㢍	oamd
㢎	otfe
㢏	owgj
㢐	omnk
㢑	owyf
㢒	ohag
㢓	oujf
㢔	otwh
㢕	oxty
㢖	otol
㢗	otdk
㢘	ouvo
㢙	oake
㢚	ohae
㢛	owgw
㢜	oaln
㢝	oqot
㢞	onlw
㢟	hpv
㢠	mkpd
㢡	nhda
㢢	imka
㢣	aqka
㢤	fqny
㢥	mgky
㢦	sksy
㢧	xgd
㢨	xfh
㢩	xqyy
㢪	xfnn
㢫	xmh
㢬	xdcy
㢭	xhcy
㢮	xtbn
㢯	xnan
㢰	xhcy
㢱	xciy
㢲	xxgw
㢳	xtey
㢴	xlry
㢵	xwgk
㢶	xdjg
㢷	xmqy
㢸	xxty
㢹	xufh
㢺	xuvg
㢻	xtvg
㢼	xumi
㢽	xbxn
㢾	xsfg
㢿	xwnd
㣀	xfhw
㣁	xath
㣂	xgkh
㣃	xycx
㣄	xias
㣅	xaqj
㣆	xgwg
㣇	xgrh
㣈	xgrh
㣉	aet
㣊	ter
㣋	fjye
㣌	hket
㣍	cket
㣎	rier
㣏	djfe
㣐	riet
㣑	ovee
㣒	ulje
㣓	hqce
㣔	tsh
㣕	tdy
㣖	tdyy
㣗	tynt
㣘	tqkg
㣙	tmg
㣚	tmgk
㣛	twgk
㣜	tgaj
㣝	tadt
㣞	twcq
㣟	tfkg
㣠	thtu
㣡	twkh
㣢	tuxt
㣣	tdty
㣤	taay
㣥	twff
㣦	ttvg
㣧	txen
㣨	tvdg
㣩	tssy
㣪	tegc
㣫	ttgf
㣬	tkbg
㣭	trbt
㣮	tfmf
㣯	tnie
㣰	tton
㣱	tgmy
㣲	tmgt
㣳	trlo
㣴	tamw
㣵	tfup
㣶	tylg
㣷	tpns
㣸	togg
㣹	town
㣺	nyu
㣻	rnu
㣼	nvyy
㣽	vnu
㣾	ncyy
㣿	nqyy
㤀	tynn
㤁	gdnu
㤂	bynu
㤃	nyt
㤄	ngmh
㤅	aqnu
㤆	nrcy
㤇	ntdy
㤈	nny
㤉	naht
㤊	nrry
㤋	nwvt
㤌	nafg
㤍	agnn
㤎	eknu
㤏	ntuy
㤐	hknu
㤑	ndkg
㤒	ndfh
㤓	nsgg
㤔	nwfy
㤕	nbmh
㤖	npsh
㤗	dwnu
㤘	nqvg
㤙	mngn
㤚	ntgs
㤛	nwtf
㤜	ndyy
㤝	nycq
㤞	npta
㤟	manu
㤠	gqjn
㤡	ngqj
㤢	ndeg
㤣	uanu
