的	〔白勹丶󰁶・rqyy〕
进	〔二󰀯辶󰀵・fjpk〕
家	〔宀一󰀓󰁧・pgeu〕
等	〔⺮土寸󰁧・tffu〕
部	〔立口阝󰀢・ukbh〕
里	〔日土󰀌・jfd〕
都	〔土丿日阝・ftjb〕
自	〔丿目󰀌・thd〕
二	〔二一一・fgg〕
如	〔女口󰀝・vkg〕
理	〔王日土󰀝・gjfg〕
起	〔土󰁾己󰁫・fhnv〕
力	〔力𠃌丿・ent〕
长	〔丿七󰂃󰀦・tayi〕
化	〔亻ヒ󰁀・wxn〕
现	〔王ㄇ󰁜󰁀・gmqn〕
小	〔小亅丿丶・ihty〕
度	〔广廿又󰀦・oaci〕
实	〔宀󰁦大󰁧・pudu〕
点	〔󰀥口灬󰁧・hkou〕
高	〔亠口冂口・ykmk〕
还	〔丆卜辶󰀦・dhpi〕
当	〔⺌彐󰀘・ivf〕
电	〔日乚󰁫・jnv〕
加	〔力口󰀝・ekg〕
两	〔一冂人人・gmww〕
从	〔人人󰁶・wwy〕
去	〔土厶󰁧・fcu〕
物	〔牜勹󰁤ノ・tqrt〕
把	〔扌巴󰁀・rcn〕
本	〔木一󰀌・sgd〕
好	〔女子󰀝・vbg〕
水	〔水水水水・iiii〕
制	〔󰅎冂丨刂・rmhj〕
体	〔亻木一󰀝・wsgg〕
开	〔一廾󰀵・gak〕
业	〔󰅊一󰀌・ogd〕
重	〔丿一日土・tgjf〕
使	〔亻一口乂・wgkr〕
天	〔一大󰀦・gdi〕
然	〔󰁝大丶灬・qdyo〕
些	〔止匕二󰀘・hxff〕
量	〔日一日土・jgjf〕
前	〔䒑月刂󰀬・uejj〕
四	〔四丨󰁈一・lhng〕
那	〔𠃌󰀠阝󰀢・ngbh〕
外	〔夕卜󰁶・qhy〕
事	〔一口󰁬亅・gkvh〕
它	〔宀匕󰀅・pxb〕
名	〔夕口󰀘・qkf〕
合	〔人一口󰀘・wgkf〕
因	〔囗大󰀦・ldi〕
应	〔广󰀧一󰀌・oigd〕
由	〔由丨󰁈一・mhng〕
其	〔艹三八󰁧・adwu〕
日	〔日日日日・jjjj〕
性	〔忄丿主󰀝・ntgg〕
社	〔礻󰁶土󰀝・pyfg〕
义	〔丶乂󰀦・yri〕
全	〔人王󰀘・wgf〕
样	〔木䒑󰀟󰀢・sugh〕
政	〔一止夂󰁶・ghty〕
表	〔主󰀔󰁧・geu〕
机	〔木几󰁀・swn〕
关	〔䒑大󰁧・udu〕
新	〔立木斤󰀢・usrh〕
平	〔一丷十󰀵・gufk〕
各	〔夂口󰀘・tkf〕
相	〔木目󰀝・shg〕
间	〔门日󰀌・ujd〕
心	〔心丶󰁒丶・nyny〕
正	〔一止󰀌・ghd〕
与	〔一ㄅ一󰀌・gngd〕
西	〔西一丨一・sghg〕
形	〔一廾彡ノ・gaet〕
反	〔⺁又󰀦・rci〕
看	〔目󰀘・rhf〕
明	〔日月󰀝・jeg〕
又	〔又又又又・cccc〕
么	〔丿厶󰁧・tcu〕
内	〔冂人󰀦・mwi〕
你	〔亻⺈小󰁶・wqiy〕
但	〔亻日一󰀝・wjgg〕
利	〔禾刂󰀢・tjh〕
道	〔䒑丿目辶・uthp〕
原	〔厂白小󰀦・drii〕
没	〔氵几又󰁶・iwcy〕
第	〔⺮弓丨丿・txht〕
比	〔󰁴匕󰁀・xxn〕
命	〔人一口卩・wgkb〕
数	〔米女夂󰁶・ovty〕
只	〔口八󰁧・kwu〕
线	〔纟二󰅅丶・xfxy〕
向	〔丿冂口󰀌・tmkd〕
问	〔门口󰀌・ukd〕
意	〔立日心󰁧・ujnu〕
站	〔立󰀥口󰀝・uhkg〕
此	〔止匕󰁀・hxn〕
或	〔戈口󰀞󰀌・akgd〕
条	〔夂木󰁧・tsu〕
无	〔二󰁜󰁫・fqv〕
公	〔八厶󰁧・wcu〕
质	〔⺁十贝󰀦・rfmi〕
结	〔纟士口󰀝・xfkg〕
解	〔⺈月丨󰀟・qehg〕
情	〔忄主月󰀝・ngeg〕
建	〔󰁬󰀟廴󰀵・vgpk〕
月	〔月月月月・eeee〕
想	〔木目心󰁧・shnu〕
很	〔彳彐󰀖󰁶・tvey〕
变	〔亠󰁗又󰁧・yocu〕
者	〔土丿日󰀘・ftjf〕
代	〔亻弋・wayy〕
已	〔已已已已・nnnn〕
立	〔立立立立・uuuu〕
系	〔丿ㄠ小󰁧・txiu〕
军	〔冖车󰀬・plj〕
最	〔日耳又󰁧・jbcu〕
并	〔䒑廾󰀬・uaj〕
提	〔扌日一󰁾・rjgh〕
党	〔⺌冖口儿・ipkq〕
题	〔日一󰁾贝・jghm〕
气	〔󰅎⺄󰀅・rnb〕
五	〔五一丨一・gghg〕
展	〔尸󰁺󰀖󰀦・naei〕
象	〔⺈口󰀓󰁧・qkeu〕
文	〔文丶一󰂃・yygy〕
通	〔󰁻月丨辶・cehp〕
总	〔丷口心󰁧・uknu〕
果	〔日木󰀦・jsi〕
次	〔冫⺈人󰁶・uqwy〕
员	〔口贝󰁧・kmu〕
革	〔廿口十󰀬・akfj〕
活	〔氵丿古󰀝・itdg〕
程	〔禾口王󰀝・tkgg〕
常	〔⺌冖口丨・ipkh〕
头	〔󰁦大󰀦・udi〕
位	〔亻立󰀝・wug〕
老	〔土丿匕󰀅・ftxb〕
直	〔十󰀣󰀘・fhf〕
入	〔丿󰂃󰀦・tyi〕
特	〔牜土寸󰁶・tffy〕
品	〔口口口󰀘・kkkf〕
件	〔亻丿󰀟󰀢・wtgh〕
山	〔山山山山・mmmm〕
见	〔ㄇ󰁜󰀅・mqb〕
路	〔口止夂口・khtk〕
求	〔一氺丶󰀦・giyi〕
管	〔⺮宀丨󰁃・tphn〕
及	〔乃󰂃󰀦・byi〕
级	〔纟乃󰂃󰁶・xbyy〕
少	〔小丿󰀏・ite〕
基	〔艹三八土・adwf〕
别	〔口力刂󰀢・kejh〕
设	〔讠几又󰁶・ywcy〕
式	〔󰀁工丶󰀦・aayi〕
资	〔冫⺈人贝・uqwm〕
知	〔𠂉大口󰀝・tdkg〕
组	〔纟󰀐一󰀝・xegg〕
几	〔几丿󰁊・wtn〕
手	〔手丿一亅・rtgh〕
论	〔讠人匕󰁀・ywxn〕
统	〔纟亠厶儿・xycq〕
接	〔扌立女󰀝・ruvg〕
农	〔冖󰀔󰀦・pei〕
被	〔衤󰁧󰅌又・puhc〕
边	〔力辶󰀏・epe〕
指	〔扌匕日󰀝・rxjg〕
将	〔丬夕寸󰁶・uqfy〕
料	〔米󰁦十󰀢・oufh〕
九	〔九丿󰁊・vtn〕
决	〔冫󰁄人󰁶・unwy〕
先	〔丿土儿󰀅・tfqb〕
根	〔木彐󰀖󰁶・svey〕
期	〔艹三八月・adwe〕
计	〔讠十󰀢・yfh〕
强	〔弓口虫󰁶・xkjy〕
干	〔干一一丨・fggh〕
战	〔󰀥口戈󰁶・hkay〕
回	〔囗口󰀌・lkd〕
放	〔方夂󰁶・yty〕
她	〔女也󰁀・vbn〕
给	〔纟人一口・xwgk〕
任	〔亻丿士󰀝・wtfg〕
运	〔二厶辶󰀦・fcpi〕
做	〔亻古夂󰁶・wdty〕
必	〔心丿󰀏・nte〕
流	〔氵亠厶󰀸・iyck〕
区	〔匚乂󰀦・ari〕
取	〔耳又󰁶・bcy〕
门	〔门丶丨𠃌・uyhn〕
处	〔夂卜󰀦・thi〕
据	〔扌尸古󰀝・rndg〕
南	〔十冂䒑十・fmuf〕
则	〔贝刂󰀢・mjh〕
队	〔阝人󰁶・bwy〕
图	〔囗夂󰁦󰀦・ltui〕
北	〔丬匕󰁀・uxn〕
百	〔丆日󰀘・djf〕
光	〔⺌一儿󰀅・igqb〕
治	〔氵厶口󰀝・ickg〕
东	〔󰀂小󰀦・aii〕
保	〔亻口木󰁶・wksy〕
志	〔士心󰁧・fnu〕
较	〔车亠八乂・lywr〕
领	〔人丶󰁻贝・wycm〕
海	〔氵𠂉母󰁶・itxy〕
口	〔口口口口・kkkk〕
七	〔七一乚・agn〕
导	〔巳寸󰁧・nfu〕
调	〔讠󰀼土口・ymfk〕
即	〔彐厶卩󰀢・vcbh〕
什	〔亻十󰀢・wfh〕
造	〔丿土口辶・tfkp〕
金	〔金金金金・qqqq〕
吃	〔口𠂉乙󰁀・ktnn〕
规	〔二人ㄇ󰁜・fwmq〕
争	〔⺈󰁬亅󰀬・qvhj〕
思	〔田心󰁧・lnu〕
世	〔廿󰄃󰁫・anv〕
共	〔󰁺八󰁧・awu〕
六	〔亠八󰁧・ywu〕
认	〔讠人󰁶・ywy〕
交	〔亠八乂󰁧・ywru〕
受	〔爫冖又󰁧・epcu〕
阶	〔阝人󰀯󰀢・bwjh〕
色	〔⺈巴󰀅・qcb〕
联	〔耳䒑大󰁶・budy〕
极	〔木乃󰂃󰁶・sbyy〕
美	〔丷王大󰁧・ugdu〕
济	〔氵文󰀯󰀢・iyjh〕
更	〔一日乂󰀦・gjri〕
打	〔扌丁󰀢・rsh〕
改	〔󰁁夂󰁶・nty〕
再	〔一冂土󰀌・gmfd〕
增	〔土丷󰀺日・fulj〕
收	〔󰁐丨夂󰁶・nhty〕
清	〔氵主月󰀝・igeg〕
切	〔七刀ノ・avt〕
真	〔十󰀣八󰁧・fhwu〕
教	〔土丿孑夂・ftbt〕
场	〔土ㄋ󰁤ノ・fnrt〕
权	〔木又󰁶・scy〕
安	〔宀女󰀘・pvf〕
万	〔一󰁡󰀏・gqe〕
术	〔木丶󰀦・syi〕
证	〔讠一止󰀝・yghg〕
身	〔丿󰀽三丿・tmdt〕
务	〔夂力󰁣・ter〕
走	〔土󰁾󰁧・fhu〕
带	〔一〣冖丨・gkph〕
斗	〔󰁦十󰀵・ufk〕
角	〔⺈月丨󰀬・qehj〕
单	〔丷󰅐󰀬・ulj〕
花	〔艹亻ヒ󰀅・awxb〕
目	〔目目目目・hhhh〕
完	〔宀二儿󰀅・pfqb〕
声	〔士󰁅󰁣・fnr〕
热	〔扌九丶灬・rvyo〕
报	〔扌卩又󰁶・rbcy〕
八	〔八丿󰂃・wty〕
白	〔白白白白・rrrr〕
才	〔󰀛丿󰀏・fte〕
具	〔󰀣八󰁧・hwu〕
至	〔一厶土󰀘・gcff〕
张	〔弓丿七󰂃・xtay〕
马	〔󰀊一󰀌・cgd〕
每	〔𠂉母󰁧・txu〕
话	〔讠丿古󰀝・ytdg〕
达	〔大辶󰀦・dpi〕
转	〔车二󰁓丶・lfny〕
议	〔讠丶乂󰁶・yyry〕
科	〔禾󰁦十󰀢・tufh〕
器	〔口口大口・kkdk〕
示	〔二小󰁧・fiu〕
确	〔石⺈月丨・dqeh〕
许	〔讠𠂉十󰀢・ytfh〕
今	〔人丶乛󰀅・wynb〕
例	〔亻一夕刂・wgqj〕
集	〔亻󰁷木󰁧・wysu〕
信	〔亻言󰀝・wyg〕
记	〔讠己󰁀・ynn〕
积	〔禾口八󰁶・tkwy〕
群	〔󰁬丿口󰀟・vtkg〕
步	〔止󰀤󰁣・hhr〕
整	〔一口󰅇止・gkih〕
广	〔广丶一丿・oygt〕
风	〔几乂󰀦・wri〕
传	〔亻二󰁓丶・wfny〕
界	〔田人󰀯󰀬・lwjj〕
华	〔亻ヒ十󰀬・wxfj〕
且	〔󰀐一󰀌・egd〕
元	〔二儿󰀅・fqb〕
离	〔亠乂凵厶・yrbc〕
压	〔厂土丶󰀦・dfyi〕
研	〔石一廾󰀢・dgah〕
究	〔宀八九󰀅・pwvb〕
况	〔冫口儿󰁀・ukqn〕
书	〔󰁈𠃌丨丶・nnhy〕
拉	〔扌立󰀝・rug〕
类	〔米大󰁧・odu〕
节	〔艹ㄗ󰀬・abj〕
采	〔爫木󰁧・esu〕
观	〔又ㄇ󰁜󰁀・cmqn〕
越	〔土󰁾一丶・fhgy〕
众	〔人人人󰁧・wwwu〕
持	〔扌土寸󰁶・rffy〕
叫	〔口󰁐丨󰀢・knhh〕
油	〔氵由󰀝・img〕
速	〔一口󰅇辶・gkip〕
织	〔纟口八󰁶・xkwy〕
林	〔木木󰁶・ssy〕
段	〔亻三几又・wdwc〕
难	〔又亻󰁷󰀝・cwyg〕
需	〔󰀙丆冂〢・fdmj〕
非	〔丨三丨三・hdhd〕
复	〔𠂉日夂󰁧・tjtu〕
儿	〔儿丿乚・qtn〕
律	〔彳󰁬󰀟󰀢・tvgh〕
布	〔冂丨󰀬・dmhj〕
际	〔阝二小󰁶・bfiy〕
连	〔车辶󰀵・lpk〕
算	〔⺮目廾󰀬・thaj〕
深	〔氵冖八木・ipws〕
容	〔宀八人口・pwwk〕
千	〔丿十󰀵・tfk〕
近	〔斤辶󰀵・rpk〕
周	〔󰀼土口󰀌・mfkd〕
影	〔日亠口彡・jyke〕
断	〔米󰄃斤󰀢・onrh〕
己	〔己󰁈一乚・nngn〕
办	〔力八󰀦・ewi〕
须	〔彡丆贝󰁶・edmy〕
商	〔亠丷冂口・yumk〕
石	〔石一丿一・dgtg〕
青	〔主月󰀘・gef〕
米	〔米丶丿󰂃・oyty〕
便	〔亻一日乂・wgjr〕
感	〔厂一口心・dgkn〕
省	〔小丿目󰀘・ithf〕
支	〔十又󰁧・fcu〕
何	〔亻丁口󰀝・wskg〕
团	〔囗󰀛丿󰀏・lfte〕
验	〔󰀊󰀞人一・cgwg〕
半	〔丷󰀟󰀵・ugk〕
往	〔彳丶王󰀝・tygg〕
约	〔纟勹丶󰁶・xqyy〕
太	〔大丶󰀦・dyi〕
克	〔古儿󰀅・dqb〕
劳	〔艹冖力󰁣・aper〕
历	〔厂力󰀏・dee〕
备	〔夂田󰀘・tlf〕
列	〔一夕刂󰀢・gqjh〕
低	〔亻󰁚󰀁丶・wqay〕
委	〔禾女󰀘・tvf〕
市	〔亠冂丨󰀬・ymhj〕
史	〔口乂󰀦・kri〕
响	〔口丿冂口・ktmk〕
准	〔冫亻󰁷󰀝・uwyg〕
精	〔米主月󰀝・ogeg〕
习	〔𠃌冫󰀌・nud〕
消	〔氵⺌月󰀝・iieg〕
写	〔冖一ㄅ一・pgng〕
候	〔亻丨󰁄大・whnd〕
土	〔土土土土・ffff〕
称	〔禾⺈小󰁶・tqiy〕
技	〔扌十又󰁶・rfcy〕
空	〔宀八工󰀘・pwaf〕
府	〔广亻寸󰀦・owfi〕
亲	〔立木󰁧・usu〕
毛	〔丿二乚󰁫・tfnv〕
温	〔氵日皿󰀝・ijlg〕
率	〔亠ㄠ󰀪十・yxif〕
院	〔阝宀二儿・bpfq〕
划	〔戈刂󰀢・ajh〕
装	〔丬士亠󰀔・ufye〕
存	〔丨子󰀌・dhbd〕
眼	〔目彐󰀖󰁶・hvey〕
快	〔忄󰁄人󰁶・nnwy〕
标	〔木二小󰁶・sfiy〕
值	〔亻十󰀣󰀝・wfhg〕
族	〔方𠂉𠂉大・yttd〕
王	〔王王王王・gggg〕
查	〔木日一󰀘・sjgf〕
江	〔氵工󰀝・iag〕
斯	〔艹三八斤・adwr〕
素	〔主ㄠ小󰁧・gxiu〕
却	〔土厶卩󰀢・fcbh〕
除	〔阝人一木・bwgs〕
号	〔口一ㄅ󰀅・kgnb〕
住	〔亻丶王󰀝・wygg〕
格	〔木夂口󰀝・stkg〕
参	〔厶大彡󰁣・cder〕
满	〔氵艹一人・iagw〕
始	〔女厶口󰀝・vckg〕
般	〔丿󰁪几又・tewc〕
包	〔勹巳󰁫・qnv〕
识	〔讠口八󰁶・ykwy〕
专	〔二󰁓丶󰀦・fnyi〕
京	〔亠口小󰁧・ykiu〕
照	〔日刀口灬・jvko〕
车	〔车一ㄥ丨・lgnh〕
按	〔扌宀女󰀝・rpvg〕
选	〔丿土儿辶・tfqp〕
火	〔火火火火・oooo〕
易	〔日勹󰁤󰁣・jqrr〕
厂	〔厂一丿・dgt〕
听	〔口斤󰀢・krh〕
该	〔讠亠ㄥ人・yynw〕
红	〔纟工󰀝・xag〕
属	〔尸丿口丶・ntky〕
维	〔纟亻󰁷󰀝・xwyg〕
县	〔󰀐一厶󰁧・egcu〕
严	〔一󰅊厂󰁣・godr〕
派	〔氵⺁󰀕󰁶・irey〕
局	〔尸𠃌口󰀌・nnkd〕
讲	〔讠二󰀯󰀢・yfjh〕
呢	〔口尸匕󰁀・knxn〕
继	〔纟米󰄃󰁀・xonn〕
首	〔䒑丿目󰀘・uthf〕
片	〔丿丨一󰁈・thgn〕
构	〔木勹厶󰁶・sqcy〕
女	〔女女女女・vvvv〕
德	〔彳十罒心・tfln〕
死	〔一夕匕󰁫・gqxv〕
效	〔亠八乂夂・ywrt〕
谈	〔讠火火󰁶・yooy〕
失	〔󰅎人󰀦・rwi〕
神	〔礻󰁶日丨・pyjh〕
望	〔亠󰁐月王・yneg〕
价	〔亻人󰀯󰀢・wwjh〕
铁	〔钅󰅎人󰁶・qrwy〕
酸	〔西一厶夂・sgct〕
底	〔广󰁚󰀁丶・oqay〕
黄	〔󰁺由八󰁧・amwu〕
随	〔阝月辶・bdep〕
苏	〔艹力八󰁧・aewu〕
引	〔弓丨󰀢・xhh〕
推	〔扌亻󰁷󰀝・rwyg〕
艺	〔艹乙󰀅・anb〕
尔	〔⺈小󰁧・qiu〕
官	〔宀丨󰁃󰁃・phnn〕
适	〔丿古辶󰀌・tdpd〕
批	〔扌󰁴匕󰁀・rxxn〕
英	〔艹ㄇ大󰁧・amdu〕
告	〔丿土口󰀘・tfkf〕
席	〔广廿冂丨・oamh〕
举	〔󰀧一八󰀟・igwg〕
李	〔木子󰀘・sbf〕
师	〔リ一冂丨・jgmh〕
势	〔扌九丶力・rvye〕
细	〔纟田󰀝・xlg〕
帮	〔三丿阝丨・dtbh〕
显	〔日󰅊一󰀘・jogf〕
项	〔工丆贝󰁶・admy〕
状	〔丬大丶󰁶・udyy〕
字	〔宀子󰀘・pbf〕
育	〔亠厶月󰀘・ycef〕
层	〔尸二厶󰀦・nfci〕
破	〔石󰅌又󰁶・dhcy〕
落	〔艹氵夂口・aitk〕
怎	〔𠂉丨二心・thfn〕
营	〔艹冖口口・apkk〕
远	〔二儿辶󰁫・fqpv〕
士	〔士一丨一・fghg〕
台	〔厶口󰀘・ckf〕
企	〔人止󰀘・whf〕
爱	〔爫冖又・epdc〕
言	〔言言言言・yyyy〕
河	〔氵丁口󰀝・iskg〕
配	〔西一己󰁀・sgnn〕
围	〔囗二𠃌丨・lfnh〕
型	〔一廾刂土・gajf〕
服	〔月卩又󰁶・ebcy〕
朝	〔十日十月・fjfe〕
轻	〔车ス工󰀝・lcag〕
紧	〔〢又ㄠ小・jcxi〕
武	〔二止󰁒丶・fhny〕
仅	〔亻又󰁶・wcy〕
另	〔口力󰁣・ker〕
章	〔立日十󰀬・ujfj〕
亚	〔一󰅊一󰀌・gogd〕
视	〔礻󰁶ㄇ󰁜・pymq〕
封	〔土土寸󰁶・fffy〕
密	〔宀心丿山・pntm〕
注	〔氵丶王󰀝・iygg〕
材	〔木󰀛丿ノ・sftt〕
案	〔宀女木󰁧・pvsu〕
供	〔亻󰁺八󰁶・wawy〕
止	〔止丨一一・hhgg〕
木	〔木木木木・ssss〕
续	〔纟十乛大・xfnd〕
早	〔日十󰀬・jfj〕
防	〔阝方ノ・byt〕
护	〔扌丶尸ノ・rynt〕
判	〔丷󰀠刂󰀢・ugjh〕
态	〔大丶心󰁧・dynu〕
司	〔𠃌一口󰀌・ngkd〕
固	〔囗古󰀌・ldd〕
似	〔亻󰁐丶人・wnyw〕
罪	〔罒丨三三・lhdd〕
黑	〔󰀹土灬󰁧・lfou〕
充	〔亠厶儿󰀅・ycqb〕
兴	〔󰀧一八󰁧・igwu〕
某	〔艹二木󰁧・afsu〕
树	〔木又寸󰁶・scfy〕
击	〔󰀟凵󰀬・gbj〕
致	〔一厶土夂・gcft〕
圆	〔囗口贝󰀦・lkmi〕
液	〔氵亠亻丶・iywy〕
音	〔立日󰀘・ujf〕
坚	〔〢又土󰀘・jcff〕
足	〔口󰁾󰁧・khu〕
负	〔⺈贝󰁧・qmu〕
害	〔宀三丨口・pdhk〕
含	〔人丶乛口・wynk〕
余	〔人一木󰁧・wgsu〕
夫	〔二人󰀦・fwi〕
排	〔扌丨三三・rhdd〕
费	〔弓󰀯贝󰁧・xjmu〕
源	〔氵厂白小・idri〕
觉	〔󰀧冖ㄇ󰁜・ipmq〕
范	〔艹氵⺋󰀅・aibb〕
左	〔工󰀘・daf〕
够	〔勹口夕夕・qkqq〕
差	〔䒑󰀠工󰀘・ugaf〕
城	〔土厂𠃌丶・fdny〕
春	〔三人日󰀘・dwjf〕
食	〔人丶彐󰀖・wyve〕
兵	〔󰅍一八󰁧・rgwu〕
施	〔方𠂉也󰁀・ytbn〕
富	〔宀一口田・pgkl〕
均	〔土勹冫󰀝・fqug〕
置	〔罒十󰀣󰀘・lfhf〕
减	〔冫厂一丶・udgy〕
故	〔古夂󰁶・dty〕
虽	〔口虫󰁧・kju〕
曾	〔丷󰀺日󰀘・uljf〕
占	〔󰀥口󰀘・hkf〕
送	〔䒑大辶󰀦・udpi〕
笑	〔⺮丿大󰁧・ttdu〕
试	〔讠󰀁工丶・yaay〕
职	〔耳口八󰁶・bkwy〕
氧	〔󰅎⺄䒑󰀟・rnug〕
阳	〔阝日󰀝・bjg〕
汉	〔氵又󰁶・icy〕
留	〔󰁚丶刀田・qyvl〕
跟	〔口止彐󰀖・khve〕
修	〔亻丨夂彡・whte〕
巴	〔巴󰁈丨乚・cnhn〕
创	〔人⺋刂󰀢・wbjh〕
助	〔󰀐󰀞力ノ・eget〕
未	〔二󰅇󰀦・fii〕
犯	〔犭ノ⺋󰁀・qtbn〕
初	〔衤󰁧刀ノ・puvt〕
功	〔工力ノ・aet〕
抗	〔扌亠几󰁀・rywn〕
田	〔田田田田・llll〕
坏	〔土丆卜󰁶・fdhy〕
降	〔阝夂󰀂丨・btah〕
古	〔古一丨一・dghg〕
尽	〔尸󰂃󰁦󰁧・nyuu〕
互	〔一󰅂一󰀌・gxgd〕
财	〔贝󰀛丿ノ・mftt〕
溶	〔氵宀八口・ipwk〕
病	〔疒一冂人・ugmw〕
叶	〔口十󰀢・kfh〕
投	〔扌几又󰁶・rwcy〕
策	〔⺮一冂󰅇・tgmi〕
责	〔主贝󰁧・gmu〕
波	〔氵󰅌又󰁶・ihcy〕
令	〔人丶󰁻󰁧・wycu〕
独	〔犭ノ虫󰁶・qtjy〕
考	〔土丿一ㄅ・ftgn〕
右	〔口󰀘・dkf〕
请	〔讠主月󰀝・ygeg〕
球	〔王一氺丶・ggiy〕
让	〔讠󰀥一󰀝・yhgg〕
副	〔一口田刂・gklj〕
双	〔又又󰁶・ccy〕
检	〔木人一一・swgg〕
宜	〔宀󰀐一󰀘・pegf〕
杂	〔九木󰁧・vsu〕
钱	〔钅二󰅅丶・qfxy〕
述	〔木丶辶󰀦・sypi〕
限	〔阝彐󰀖󰁶・bvey〕
简	〔⺮门日󰀘・tujf〕
找	〔扌戈󰁶・ray〕
冲	〔冫口丨󰀢・ukhh〕
端	〔立山丆〢・umdj〕
输	〔车人一刂・lwgj〕
倒	〔亻一厶刂・wgcj〕
养	〔䒑二人󰀯・ufwj〕
敌	〔丿古夂󰁶・tdty〕
阿	〔阝丁口󰀝・bskg〕
超	〔土󰁾刀口・fhvk〕
换	〔扌⺈ㄇ大・rqmd〕
州	〔丶丿丶丨・ytyh〕
胜	〔月丿主󰀝・etgg〕
帝	〔亠丷冖丨・yuph〕
依	〔亻亠󰀔󰁶・wyey〕
坐	〔人人土󰀌・wwfd〕
纪	〔纟己󰁀・xnn〕
突	〔宀八大丶・pwdy〕
念	〔人丶乛心・wynn〕
客	〔宀夂口󰀘・ptkf〕
绝	〔纟⺈巴󰁀・xqcn〕
升	〔丿廾󰀵・tak〕
陈	〔阝󰀂小󰁶・baiy〕
略	〔田夂口󰀝・ltkg〕
益	〔䒑八皿󰀘・uwlf〕
否	〔丆卜口󰀘・dhkf〕
罗	〔罒夕󰁧・lqu〕
仍	〔亻乃ノ・wbt〕
吸	〔口乃󰂃󰁶・kbyy〕
苦	〔艹古󰀘・adf〕
错	〔钅󰁺日󰀝・qajg〕
承	〔了三󰀩󰀦・bdii〕
友	〔又󰁧・dcu〕
草	〔艹日十󰀬・ajfj〕
夜	〔亠亻夂丶・ywty〕
微	〔彳山一夂・tmgt〕
优	〔亻乚丶・wdny〕
画	〔一田凵󰀬・glbj〕
础	〔石凵山󰀢・dbmh〕
协	〔十力八󰁶・fewy〕
良	〔丶彐󰀖󰀦・yvei〕
射	〔丿󰀽三寸・tmdf〕
曲	〔ㄇ󰁺󰀌・mad〕
洋	〔氵䒑󰀟󰀢・iugh〕
村	〔木寸󰁶・sfy〕
矿	〔石广ノ・dot〕
终	〔纟夂󰁦󰁶・xtuy〕
轮	〔车人匕󰁀・lwxn〕
块	〔土󰁄人󰁶・fnwy〕
环	〔王丆卜󰁶・gdhy〕
析	〔木斤󰀢・srh〕
径	〔彳ス工󰀝・tcag〕
哪	〔口𠃌󰀠阝・kngb〕
烈	〔一夕刂灬・gqjo〕
校	〔木亠八乂・sywr〕
板	〔木⺁又󰁶・srcy〕
云	〔二厶󰁧・fcu〕
诉	〔讠斤丶󰁶・yryy〕
既	〔彐厶󰀂󰁜・vcaq〕
